StudentID,Remarks
391,very co`~operative
392,seekhke aa
393,overconfident pseudoness 
394,none
395,chill_out sir ;)
396,Dont have respect for students specially boys and usually speaks rudely   
397,amazing teaching skills
398,6 th Sem - DOM even should be teached by him 
399,"best faculty
"
400,great teacher with amazing knowledge
401,"NEED TO SIMPLIFY THE TEACHING METHOD WITH OTHER METHODS
"
402,Very good
403,need to polite
404,Further subjects should  even be teached by him
405,Good but need to be good vocabulary
406,Exellent
407,Need improvement in essence
408,nyc communication
409,Always polite??
410,control class 
411,Superb teaching And A very Good Person
412,exellent
413,good
414,A very kind person and extremely sweet in talking
415,no
416,no
417,no
418,no
419,no
420,Best teacher for os
421,The most decent lecturer and the best teacher of Acet.
422,Excellent at explaining any concept by visualization technique
423,Gooooood
424,Superb sirrrr...
425,Good...
426,Very good 
427,Rehan sir is Best teacher forever.because they have awesome communication skills and better knowledge..i give him 100% from my side..
428,ask him to be strict and take control over class.
429,a little politeness will not decrease his respect.
430,good experience in subject
431,ask him not to read from book.
432,class control is not done properly
433,"ask him to focus on the topic he teaches not on the rest of the things.
"
434,ask him to do the question which is asked in university exam
435,course can be completed if he starts teaching at a good speed and take classes punctually.
436,course can be completed if he start his course at good speed
437,change faculty
438,excellent teaching
439,good
440,NEED TO CONTROL THE CLASS
441,VERY FRANK N FRIENDLY
442,"not suitable for EC1
and HM"
443,too sincere and serious about discipline 
444,good
445,unable to understand by students 
446,good
447,satisfactory
448,Good
449,Good
450,"need to be changed
"
451,good
452,ok
453,Excellent
454,Good
455,Good performance 
456,Incorrect pronunciation
457,Excellent
458,Excellent performance
459,Very sincere and excellent teaching
460,Excellent!
461,"Very good teacher .
Nice way of communication
deep subject knowledge 
no partiality done ... communication way is very effective"
462,"very good teaching, good teacher and good behaviour "
463,make him H.o.D
464,Good
465,"Good teaching

"
466,USE PROPER LANGUAGE
467,"teaching,behaviour,comunication skill is good but it's very fast."
468,communication skill is good
469,teaching is good.
470,soft dill
471,teaching is good but it's very fast.
472,good teaching
473,"good teaching,good behaviour and good communication skill"
474,teaching is good but very strict.
475,good
476,"good and best teaching,communication skill is also good"
477,alhamudullila
478,good knowledge
479,Anwar sir is Best teacher for teach because they have  good ability to explain..
480,They have best knowledge..
481,East n west tahir sir is best..because they have awesome ability to  provide and explaining..and ghey have better knowledge
482,Excellent teaching 
483,They have best knowledge..
484,good nature...soft hearted
485,having lots of knowlege of programming
486,teaching is awaysom but writting in bord with bad handwritting...
487,Best professor of Anjuman
488,Good
489,awesome
490,superb
491,excellent
492,"Need to improve your teaching skills...
always give the question bank its better for the students..."
493,no
494,no
495,No 
496,Good
497,Good
498,Good
499,Good
500,awesom
501,excellent
502,godd subject knowledge
503,intelligent
504,He is an honest person towards his duty
505,Good teaching but very fast 
506,Busy with his own personal stuffs and very much leneynt with the teaching and practical
507,10
508,10
509,7
510,5
511,5
512,9
513,8
514,My favourite faculty
515,"very good sir.
"
516,good command on subject
517,One of the best faculties for DESIGN subjects
518,slow speed to teach
519,provide derivation notes also
520,sir you are amazing .
521,best in all....
522,didnt aware the student about the course
523,Excellent class control ability
524,clear all the basics of the subject
525,Good English Skills and Pronounciation
526,good teacher
527,good teacher
528,Good Knowledge Of Subject
529,Can do better
530,good teacher
531,good teacher
532,Good SUBJECT KNOWLEDGE
533,no words
534,Can do better
535,??
536,Good
537,"Very bad teaching skill..
"
538,Very good
539,Very good
540,Good
541,"Great knowledge of subject...
Understand students really well..
Sharing the  important experience about technical knowledge.."
542,His teaching speed is very fast and don't have exact knowledge of teaching
543,Best faculty of mechanical 
544,Good
545,Need to improve 
546,10
547,Need to improve 
548,"Excellent teacher ever.
Very motivational "
549,No
550,No
551,Sir please reduce the burden of assignments 
552,Absolutely nothing 
553,"Give some practical knowledge, tell to us why we study it, what is the importance of it in our course "
554,"Teach the level of other students except toppers,bcoz they are not able to understand that what you teach, and they afraid from faculty bcoz of their strictness that's why they are not ask faculty to repeat it, if they said on that point faculty also scol"
555,Awesome teaching 
556,Please speak slowly.
557,Give less writing work.
558,Be a little easy to students.
559,Improve explanation skills.
560,Take more number of questions.
561,Plz teach those questions which will come in University exam 
562,Theory wale unit bhi pdha diya karo 
563,"Excellent,Excellent,"
564,teaching is very good
565,Very good
566,"Excellent
"
567,teaching is very good
568,Bad 
569,Very Good 
570,Very Good
571,0
572,full
573,nice pic dear
574,Excellent 
575,Best sir
576,Aal is well
577,"If u conduct our classes at d starting it will beneficial for us.
But becoz of late teaching this subject became useless.becoz we cannot study about it."
578,U r getting si much time to teach a small thing.
579,excellent
580,"one of the most knowledgeable teacher of anjuman
"
581,very good
582,good
583,good
584,best teacher in the world
585,good
586,excellent teaching
587,very coprative and humble
588,not deserving
589,good
590,Good
591,Good
592,V good
593,Good
594,Bad teaching  
595,nice faculty
596,6 th Sem - DOM even should be teached by him 
597,Sir zabardast he har students se parents ki tarah hamdardi karte
598,Next time please try to cover derivation and theory portion of the syllabus
599,Good
600,Good
601,Good
602,Excellent
603,Good
604,Good
605,Not bad
606,Not bad
607,"Almost full course is covered 
"
608,"Please maintain 2 way conversation ,  and take feedback from students, weather the problem is understood or not."
609,Good
610,Excellent
611,sohail sir have better knowledge and experience. 
612,Excellent
613,fidvi sir's behavior  is very good and he talks very politely  .
614,Best Teacher For EC-1
615,Subject knowledge is good but not capable to control class 
616,"having perfect teaching
"
617,shyamal sir have very good knowledge of this subject but he is can not express our knowledge. he is unable to control the class because no any one student gives importance to shyamal sir. he is also a very good teacher. if he will be keep strict of rule s
618,using best technics
619,Excellent teacher
620,good teaching
621,"Good knowledge about subject, teaching speed is good, give their 100% ,best faculty as well as best person"
622,perfect teaching
623,teaches good
624,"having good control in class
"
625,Hamdard teacher he
626,Subject knowledge is good but problem in explanation
627,fidvi sir's behavior  is very good and he talks very politely  .
628,fidvi sir's behavior  is very good and he talks very politely  .
629,Good
630,Good
631,Good
632,Amazing.. 
633,No teaching is very good
634,"Excellent! 
"
635,no comments
636,No teaching is very good
637,no comments
638,Good teacher
639,no cooments
640,no comments
641,Giving notes Xerox 
642,Good teacher
643,Don't need to read the questions asked sir deserves 100 stars out of 10 ??
644,No
645,No
646,No
647,No
648,Best faculty but class control is very poor and some lack of concept as compare to other faculty...
649,No
650,"Best faculty in the whole Mechanical
Department  and the punctuality can't explain...Concept and knowledge about the subject is excellent... also communication is very good and well discipline.."
651,Best faculty for functional English subject but course not completed properly  .
652,"Best faculty  ,Subject knowledge
is excellent  but some lack of concept how to explain and how to demonstrate to the students to understand that topics/Concepts "
653,Best faculty for the MECHATRONICS subject.
654,Best faculty...& teaching method is excellent 
